id_cliente,mes_ingresso,resposta,loja,idade,sexo,flag_aposentado,flag_bolsa_familia,flag_emprego_formal,flag_socio,qtd_consultas,rating_1,rating_2
149642,11,NA,130,48,f,0,0,0,0,0,B,9384
149643,11,NA,26,39,f,0,1,0,0,0,D,7422
149644,11,NA,26,18,NA,0,0,0,0,0,D,8206
149645,11,NA,66,36,m,0,0,0,0,0,E,8195
149646,11,NA,33,31,f,0,0,0,0,0,A,9382
149647,11,NA,1,37,m,0,0,1,0,1,C,6845
149648,11,NA,15,35,f,0,0,1,0,0,E,8740
149649,11,NA,122,29,m,0,0,0,0,0,E,7558
149650,11,NA,38,68,f,1,0,0,0,1,E,9455
149651,11,NA,85,49,f,0,0,1,0,0,E,8345
149652,11,NA,123,27,f,0,0,0,0,0,B,7867
149653,11,NA,122,27,m,0,0,1,1,0,E,6240
149654,11,NA,18,34,m,0,0,1,0,0,A,9617
149655,11,NA,18,33,f,0,0,1,0,0,E,9313
149656,11,NA,26,37,f,0,0,0,0,0,D,7842
149657,11,NA,95,32,f,0,0,1,0,0,C,8034
149658,11,NA,122,61,f,0,0,0,1,0,E,7501
149659,11,NA,127,36,f,0,1,0,0,0,E,8811
149660,11,NA,54,33,f,0,0,1,0,0,E,7569
149661,11,NA,66,33,f,0,0,1,0,0,B,9520
149662,11,NA,97,26,m,0,0,1,0,0,B,9273
149663,11,NA,70,28,m,0,0,1,0,0,E,7855
149664,11,NA,118,32,m,0,0,0,0,0,A,5424
149665,11,NA,20,26,m,0,0,1,0,0,E,8800
149666,11,NA,104,25,f,0,1,0,0,0,D,7249
149667,11,NA,87,19,m,0,0,0,0,0,E,8533
149668,11,NA,15,27,f,0,0,0,0,0,E,7629
149669,11,NA,26,34,f,0,0,1,0,0,C,8545
149670,11,NA,25,18,f,0,0,1,0,0,D,7809
149671,11,NA,59,45,f,0,0,1,0,0,D,7597
149672,11,NA,26,47,f,0,0,0,0,0,D,7672
149673,11,NA,121,26,f,0,0,0,0,0,D,8452
149674,11,NA,113,29,f,0,0,0,0,0,C,8125
149675,11,NA,58,26,f,0,0,0,0,0,E,7763
149676,11,NA,113,32,m,0,0,1,0,0,C,7909
149677,11,NA,87,22,m,0,0,0,0,0,A,9068
149678,11,NA,95,22,m,0,0,0,1,0,C,8035
149679,11,NA,43,22,m,0,0,0,1,5,E,8967
149680,11,NA,92,77,m,0,0,0,1,0,A,9767
149681,11,NA,85,37,f,0,0,0,0,0,D,6052
149682,11,NA,135,62,m,0,0,1,0,0,A,9323
149683,11,NA,49,26,f,0,0,0,0,0,E,7027
149684,11,NA,28,35,f,0,0,0,1,0,C,7272
149685,11,NA,65,28,f,0,0,1,0,0,D,8462
149686,11,NA,113,22,m,0,0,1,0,0,C,9305
149687,11,NA,98,26,m,0,0,0,0,0,E,7019
149688,11,NA,83,35,f,0,0,0,1,0,E,8709
149689,11,NA,35,28,f,0,0,0,0,0,C,9423
149690,11,NA,47,23,f,0,0,0,0,0,E,7055
149691,11,NA,64,18,m,0,0,1,0,0,E,8177
149692,11,NA,63,35,m,0,0,1,0,0,B,8507
149693,11,NA,35,24,f,0,0,0,1,0,E,6153
149694,11,NA,28,72,m,1,0,1,0,0,A,9634
149695,11,NA,113,22,m,0,0,0,0,0,C,8809
149696,11,NA,26,66,f,1,0,0,0,0,A,9407
149697,11,NA,26,27,m,0,0,1,0,0,E,7430
149698,11,NA,25,19,f,0,0,0,0,0,D,7531
149699,11,NA,25,22,m,0,0,0,0,0,B,8651
149700,11,NA,70,27,f,0,0,0,1,0,C,7570
149701,11,NA,96,60,m,1,0,1,1,6,D,7903
149702,11,NA,71,37,f,0,0,0,0,0,A,9284
149703,11,NA,45,57,f,0,0,0,1,0,E,9195
149704,11,NA,10,55,f,0,0,1,0,0,E,8997
149705,11,NA,70,25,m,0,0,1,0,0,C,8920
149706,11,NA,23,25,m,0,0,1,0,0,E,6396
149707,11,NA,9,32,m,0,0,0,0,0,E,8867
149708,11,NA,63,30,m,0,0,1,1,1,A,9624
149709,11,NA,22,51,m,0,0,0,0,0,E,8204
149710,11,NA,26,33,m,0,0,1,0,0,E,7852
149711,11,NA,43,31,f,0,0,1,1,0,E,8681
149712,11,NA,38,39,f,0,0,1,0,0,A,9125
149713,11,NA,15,28,f,0,0,1,0,0,E,8484
149714,11,NA,65,19,m,0,0,0,0,0,C,7689
149715,11,NA,26,32,m,0,0,0,0,0,C,5066
149716,11,NA,113,25,m,0,0,0,0,0,D,7628
149717,11,NA,97,25,m,0,0,1,0,0,B,9248
149718,11,NA,25,26,f,0,0,1,0,0,E,7696
149719,11,NA,70,27,m,0,0,1,0,0,E,7926
149720,11,NA,103,42,m,0,0,0,0,0,C,8823
149721,11,NA,79,33,m,0,0,1,0,0,D,8344
149722,11,NA,35,27,m,0,0,0,0,0,C,7453
149723,11,NA,54,31,m,0,0,1,0,0,A,9363
149724,11,NA,28,32,f,0,0,0,0,0,C,8027
149725,11,NA,10,35,m,0,0,0,0,0,A,9477
149726,11,NA,59,35,f,0,0,1,0,0,E,8580
149727,11,NA,55,26,f,0,1,0,0,0,E,6603
149728,11,NA,4,37,f,0,1,0,0,0,C,8712
149729,11,NA,67,55,f,1,1,0,0,3,A,9368
149730,11,NA,26,49,f,0,1,0,0,0,C,8832
149731,11,NA,26,32,m,0,0,0,1,0,E,7850
149732,11,NA,32,35,f,0,1,0,0,0,A,9556
149733,11,NA,26,35,f,0,0,0,0,0,B,8911
149734,11,NA,48,26,m,0,0,1,0,0,A,9255
149735,11,NA,20,39,f,0,1,1,0,0,C,9229
149736,11,NA,56,32,m,0,0,1,1,0,A,9219
149737,11,NA,66,44,f,0,0,1,0,0,B,9402
149738,11,NA,76,41,m,0,0,0,0,0,E,8019
149739,11,NA,96,33,f,0,0,0,1,0,E,8223
149740,11,NA,26,34,f,0,1,0,0,0,D,7655
149741,11,NA,118,34,m,0,0,1,0,0,E,8720
149742,11,NA,121,27,f,0,0,1,0,0,D,5272
149743,11,NA,54,31,m,0,0,0,0,0,A,9461
149744,11,NA,4,31,f,0,0,0,1,0,E,8432
149745,11,NA,135,39,f,0,0,0,0,0,A,9437
149746,11,NA,38,34,m,0,0,1,1,0,C,8438
149747,11,NA,113,27,f,0,0,0,0,0,C,6054
149748,11,NA,37,32,m,0,0,1,0,0,C,9529
149749,11,NA,78,30,m,0,0,0,0,1,C,6374
149750,11,NA,26,26,m,0,0,1,0,0,C,8318
149751,11,NA,66,34,m,0,0,1,0,0,E,8019
149752,11,NA,26,32,f,0,0,0,0,0,E,8787
149753,11,NA,70,42,m,0,0,1,0,0,A,9468
149754,11,NA,135,26,m,0,0,1,0,0,E,7436
149755,11,NA,130,72,m,1,0,0,0,8,E,8783
149756,11,NA,102,49,m,0,0,1,0,2,E,8827
149757,11,NA,86,34,f,0,0,0,0,0,A,9647
149758,11,NA,30,64,m,0,0,0,0,0,B,8190
149759,11,NA,26,41,f,0,0,0,0,0,C,8877
149760,11,NA,26,21,f,0,0,0,0,0,A,8696
149761,11,NA,39,34,f,0,0,0,0,0,C,9713
149762,11,NA,75,43,m,0,0,1,0,0,E,8833
149763,11,NA,35,42,f,0,0,0,0,0,C,8698
149764,11,NA,66,34,f,0,0,1,0,0,B,9485
149765,11,NA,47,57,m,0,0,0,1,0,E,9261
149766,11,NA,65,74,m,0,0,0,0,0,A,9677
149767,11,NA,118,33,f,0,0,0,0,0,D,8436
149768,11,NA,61,53,f,0,0,0,0,0,D,8509
149769,11,NA,12,38,NA,0,1,0,0,1,C,7042
149770,11,NA,120,25,m,0,0,0,0,1,E,7618
149771,11,NA,59,32,m,0,0,1,0,0,C,8410
149772,11,NA,113,30,f,0,0,1,0,0,E,6635
149773,11,NA,23,36,f,0,0,0,0,0,E,8077
149774,11,NA,58,25,f,0,0,0,0,0,C,9020
149775,11,NA,18,36,f,0,1,0,0,0,C,8911
149776,11,NA,1,67,f,1,0,0,0,0,B,9524
149777,11,NA,95,27,m,0,0,1,0,0,A,7734
149778,11,NA,10,44,f,0,0,0,0,0,E,7683
149779,11,NA,59,40,f,0,0,1,0,1,D,9408
149780,11,NA,35,27,f,0,0,0,0,0,C,9131
149781,11,NA,74,30,f,0,0,0,0,0,E,7011
149782,11,NA,63,32,m,0,0,1,0,0,C,6987
149783,11,NA,1,36,f,0,1,0,0,0,E,8227
149784,11,NA,70,22,m,0,0,0,0,0,B,9208
149785,11,NA,18,45,m,0,0,0,0,0,D,9329
149786,11,NA,35,29,f,0,0,0,1,4,A,5549
149787,11,NA,40,46,m,0,1,1,0,0,E,8537
149788,11,NA,65,34,m,0,0,0,0,0,D,9048
149789,11,NA,15,42,f,0,0,1,0,1,E,7295
149790,11,NA,43,64,m,0,0,0,0,0,E,8789
149791,11,NA,94,22,m,0,0,1,1,0,A,8096
149792,11,NA,39,36,f,1,0,1,0,0,E,8970
149793,11,NA,11,39,f,0,1,0,0,0,B,9665
149794,11,NA,26,34,f,0,1,0,0,0,E,8214
149795,11,NA,109,32,m,0,0,0,0,0,E,7928
149796,11,NA,47,27,f,0,0,1,0,0,E,7174
149797,11,NA,59,36,f,0,1,0,0,0,E,6984
149798,11,NA,71,26,m,0,0,0,0,0,E,7345
149799,11,NA,134,27,m,0,0,1,1,0,C,8865
149800,11,NA,70,27,f,0,0,1,0,5,E,7434
149801,11,NA,15,32,m,0,0,1,0,0,E,8619
149802,11,NA,32,34,f,0,0,0,0,4,D,8636
149803,11,NA,5,66,f,0,0,0,0,0,E,7893
149804,11,NA,113,25,f,0,0,0,1,0,E,6694
149805,11,NA,35,27,f,0,0,1,0,0,C,7490
149806,11,NA,122,30,m,0,0,0,0,0,C,7886
149807,11,NA,26,37,m,0,0,1,0,0,C,9296
149808,11,NA,66,40,f,0,0,0,0,0,C,9274
149809,11,NA,8,33,f,0,1,0,1,0,E,8352
149810,11,NA,94,18,m,0,0,0,0,0,D,7730
149811,11,NA,113,37,m,0,0,1,0,0,B,9584
149812,11,NA,71,41,f,0,0,0,1,0,C,9427
149813,11,NA,113,21,m,0,0,1,0,0,D,9267
149814,11,NA,7,20,f,0,0,0,0,0,C,8278
149815,11,NA,26,20,f,0,0,0,0,0,B,8116
149816,11,NA,10,34,m,0,0,1,0,0,E,8092
149817,11,NA,65,33,f,0,1,1,0,0,E,8480
149818,11,NA,118,32,m,0,0,0,0,0,E,7757
149819,11,NA,71,39,f,0,0,0,0,1,E,8957
149820,11,NA,26,34,m,0,0,0,0,0,A,9144
149821,11,NA,8,31,f,0,1,1,0,0,E,8109
149822,11,NA,71,25,m,0,0,1,0,0,D,9205
149823,11,NA,26,33,m,0,0,0,0,0,E,8529
149824,11,NA,101,67,m,1,0,0,1,0,A,9563
149825,11,NA,66,35,f,0,0,1,1,0,E,8496
149826,11,NA,74,23,f,0,0,1,0,0,A,7594
149827,11,NA,97,23,m,0,0,1,0,0,E,8632
149828,11,NA,45,45,f,0,0,0,0,0,C,8994
149829,11,NA,118,33,f,0,0,0,1,0,E,8758
149830,11,NA,18,34,f,0,0,0,0,0,E,7259
149831,11,NA,59,37,f,0,0,1,0,0,D,8342
149832,11,NA,59,36,f,0,0,0,0,0,C,7627
149833,11,NA,120,27,m,0,0,1,0,0,C,6547
149834,11,NA,10,37,f,0,0,1,0,0,E,8814
149835,11,NA,26,38,f,0,0,1,0,0,C,8453
149836,11,NA,12,46,f,0,0,0,0,0,E,8257
149837,11,NA,26,32,m,0,0,1,0,0,D,8475
149838,11,NA,113,26,m,0,0,0,0,0,E,8191
149839,11,NA,30,31,m,0,0,1,1,1,A,9624
149840,11,NA,41,61,m,0,0,1,1,0,C,9550
149841,11,NA,10,34,f,0,0,0,0,0,E,7677
149842,11,NA,64,26,f,0,0,1,0,0,E,7025
149843,11,NA,118,33,f,0,0,1,0,0,E,6942
149844,11,NA,26,41,f,0,0,0,1,0,C,9424
149845,11,NA,21,36,f,0,0,0,0,0,C,6809
149846,11,NA,70,18,m,0,0,0,0,0,D,8082
149847,11,NA,66,32,m,0,0,0,0,0,C,9332
149848,11,NA,66,32,m,0,0,1,0,0,E,9285
149849,11,NA,35,26,m,0,0,1,0,0,A,8886
149850,11,NA,14,32,f,0,0,1,0,0,E,9224
149851,11,NA,109,35,f,0,0,1,0,0,E,5884
149852,11,NA,129,26,m,0,0,1,0,0,E,6306
149853,11,NA,97,27,f,0,0,0,0,0,D,8679
149854,11,NA,8,33,f,0,0,0,0,0,E,7633
149855,11,NA,21,35,f,0,0,1,0,1,A,9701
149856,11,NA,103,31,m,0,0,1,0,0,B,9155
149857,11,NA,23,25,f,0,0,0,0,0,C,8581
149858,11,NA,55,68,f,0,0,0,0,7,E,8446
149859,11,NA,22,63,m,0,0,1,0,5,A,9679
149860,11,NA,44,62,f,0,0,1,1,3,A,9655
149861,11,NA,16,33,f,0,0,0,1,0,A,9796
149862,11,NA,18,33,f,0,0,1,0,0,C,9127
149863,11,NA,95,26,m,0,0,1,0,0,C,9118
149864,11,NA,45,33,m,0,0,0,0,0,A,9179
149865,11,NA,135,57,f,0,0,0,0,0,D,7791
149866,11,NA,127,33,f,0,1,0,0,0,E,8223
149867,11,NA,18,38,f,0,1,0,0,0,E,8332
149868,11,NA,26,33,m,0,0,1,0,0,C,7330
149869,11,NA,15,31,m,0,0,0,0,0,C,7852
